Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC,Manufacturer 1,Supplier Part Number 1

"CAP0603","CAPACITOR,CERAMIC,22uF,16V,X5R,0603","C1","CAPC0603","CAPC-0603-22uF-16V-X5R","1","C2762594","","1276-7076-1-ND"
"CAP0603","CAPACITOR,CERAMIC,22uF,16V,X5R,0603","C2","CAPC0603","CAPC-0603-22uF-16V-X5R","1","C2762594","","1276-7076-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C3","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0603","CAPACITOR,CERAMIC,22uF,16V,X5R,0603","C4","CAPC0603","CAPC-0603-22uF-16V-X5R","1","C2762594","","1276-7076-1-ND"
"CAP0603","CAPACITOR,CERAMIC,22uF,16V,X5R,0603","C5","CAPC0603","CAPC-0603-22uF-16V-X5R","1","C2762594","","1276-7076-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C6","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C7","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C8","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C9","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C10","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,4u7,10V,X5R,0402","C11","CAPC0402","CAPC-0402-4u7-10V-X5R","1","C1705","","1276-1482-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C12","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C13","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C14","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C15","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C16","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,4u7,10V,X5R,0402","C17","CAPC0402","CAPC-0402-4u7-10V-X5R","1","C1705","","1276-1482-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C18","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,4u7,10V,X5R,0402","C19","CAPC0402","CAPC-0402-4u7-10V-X5R","1","C1705","","1276-1482-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C20","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,4u7,10V,X5R,0402","C21","CAPC0402","CAPC-0402-4u7-10V-X5R","1","C1705","","1276-1482-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C22","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,4u7,10V,X5R,0402","C23","CAPC0402","CAPC-0402-4u7-10V-X5R","1","C1705","","1276-1482-1-ND"
"CAP0603","CAPACITOR,CERAMIC,4u7,10V,X5R,0603","C24","CAPC0603","CAPC-0603-4u7-10V-X5R","1","C1705","","GRM188Z71A475KE15J"
"CAP0603","CAPACITOR,CERAMIC,15pF,50V,C0G,0402","C25","CAPC0402","CAPC-0402-15PF-50V-C0G","1","C3906764","","311-3780-1-ND"
"CAP0603","CAPACITOR,CERAMIC,15pF,50V,C0G,0402","C26","CAPC0402","CAPC-0402-15PF-50V-C0G","1","C3906764","","311-3780-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C27","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C28","CAPC0402","CAPC-0402-100nF-16V-X7R","1","C60474","","1292-1630-1-ND"
"CAP0402","CAPACITOR,CERAMIC,4u7,10V,X5R,0402","C29","CAPC0402","CAPC-0402-4u7-10V-X5R","1","C1705","","1276-1482-1-ND"
"CAP0603","CAPACITOR,CERAMIC,4u7,10V,X5R,0603","C30","CAPC0603","CAPC-0603-4u7-10V-X5R","1","C1705","","GRM188Z71A475KE15J"
"CAP0402","CAPACITOR,CERAMIC,4u7,10V,X5R,0402","C31","CAPC0402","CAPC-0402-4u7-10V-X5R","1","C1705","","1276-1482-1-ND"
