Description,Designator,Quantity,LCSC

"CAPACITOR,CERAMIC,22uF,16V,X5R,0603","C1, C2, C4, C5","4","C2762594"
"CAPACITOR,CERAMIC,100nF,16V,X7R,0402","C3, C6, C7, C8, C9, C10, C12, C13, C14, C15, C16, C18, C20, C22, C27, C28, C32, C34, C35, C39","20","C60474"
"CAPACITOR,CERAMIC,4u7,10V,X5R,0402, CAPACITOR,CERAMIC,4u7,10V,X5R,0603","C11, C17, C19, C21, C23, C24, C29, C30, C31, C40","10","C1705"
"CAPACITOR,CERAMIC,15pF,50V,C0G,0402","C25, C26","2","C3906764"
"CAPACITOR,CERAMIC,10nF,200V,X7R,0805 (2012),ESD","C33","1","C36911368"
"DIODE,TVS,DUAL,UNIDIRECTIONAL,USB","D1","1","C22358704"
"LED,BLUE,0603","D2","1","C965807"
"DIODE,75V,215mA,SOD323,LOW LEAKAGE","D3, D4","2","C459842"
"CONN,USB-C,16P,RA,TH,8.94X9.17","J1","1","C36936564"
"CONN,1X3,1MM,RA,SMD,JST,SM03B","J7","1","C160403"
"BAT,3V,SMD,SEIKO MS621R","K1","1",""
"IND,4.7uH,1.06A,3X3, NRH3012T4R7MN","L1","1","C5159666"
"IND,3U3,RP2350, ABRACON AOTA-B201610S3R3-101-T","L2","1","C42411119"
"RESISTOR,1K,1%,63mW,0402 (1005)","R1, R6, R7, R10, R17, R18, R19","7","C106235"
"RESISTOR,5K1,1%,63mW,0402 (1005)","R2, R3","2","C105872"
"RESISTOR,27R,1%,63mW,0402 (1005)","R4, R5","2","C138021"
"RESISTOR,10K,1%,63mW,0402 (1005)","R8, R9, R14","3","C60490"
"RESISTOR,33R,1%,63mW,0402 (1005)","R11, R16","2","C138002"
"RESISTOR,4K7,1%,63mW,0402 (1005)","R12, R13","2","C105871"
"RESISTOR,1M,1%,100mW,0603 (1608)","R15","1","C105578"
"SW,SMD,TACT,4PIN,2.9X3.5,4PIN,SIDE ACTUATOR","SW1","1","C483790"
"SW,SMD,TACT,4PIN,2.9X3.5,4PIN","SW2, SW3","2","C483888"
"IC,CPU,RP2350B,QFN80","U1","1","C42415655"
"IC,PMIC,STEP-DOWN, 2A 3.3V","U2","1","C780769"
"IC,FLASH,QSPI,16Mx8","U3","1","C97521"
"IC,VOLTAGE REFERENCE,3.0V","U4","1","C460608"
"IC,PSRAM,QSPI,8Mx8,SO8","U5","1","C5333729"
"IC,FRAM,I2C, 64KBIT","U6","1","C914923"
"IC,RTC,I2C,DS3231M","U8","1","C107410"
"IC,PMIC,IDEAL DIODE ORING CONTROLLER","U9","1","C3235547"
"XTAL,12MHZ,RP2350","X1","1","C20625731"
