Altium Designer Pick and Place Locations
C:\GitHub\DIP2350\CAD\.\Production\Pick Place for DIP2350.txt

========================================================================================================================
File Design Information:

Date:       02/07/25
Time:       09:57
Revision:   aaa0a9fbad1dd594484631efc85a4bcd5a27897b
Variant:    No variations
Units used: mil

Designator Comment                     Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                       
R19        RESC0402                    TopLayer    RESC0402                      263.779       -1533.465     0        "RESISTOR,1K,1%,63mW,0402 (1005)"                 
D4         BAV116DW                    TopLayer    SOD323                        244.095       -1437.008     90       "DIODE,75V,215mA,SOD323,LOW LEAKAGE"              
C35        CAP0402                     TopLayer    CAPC0402                      -276.575      -1312.992     90       CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
R18        RESC0402                    TopLayer    RESC0402                      -144.685      -1319.882     90       "RESISTOR,1K,1%,63mW,0402 (1005)"                 
D3         BAV116DW                    TopLayer    SOD323                        -244.095      -1437.008     90       "DIODE,75V,215mA,SOD323,LOW LEAKAGE"              
LOGO1      LOGO-LICENSE-CC0-PUBLIC     BottomLayer LOGO-LICENSE-CC0-PUBLIC       -3250.000     -3050.000     270      ""                                                
LOGO2      LOGO-LICENSE-CC             BottomLayer LOGO-LICENSE-CC               -3250.000     -3050.000     270      ""                                                
J8         SOLDERPAD-2                 BottomLayer SOLDERPAD-2                   279.528       1377.953      180      ""                                                
U9         XC8110                      TopLayer    SOT23-5                       -129.921      1086.614      270      "IC,PMIC,IDEAL DIODE ORING CONTROLLER"            
C40        CAP0402                     TopLayer    CAPC0402                      -19.685       1157.480      0        CAPACITOR,CERAMIC,4u7,10V,X5R,0402                
D2         BLUE                        TopLayer    LED-0603-BLUE                 -0.003        1251.965      180      LED,BLUE,0603                                     
R17        RESC0402                    TopLayer    RESC0402                      -234.252      -1312.992     270      "RESISTOR,1K,1%,63mW,0402 (1005)"                 
R16        RESC0402                    TopLayer    RESC0402                      303.150       354.331       90       "RESISTOR,33R,1%,63mW,0402 (1005)"                
K1         MS621R                      TopLayer    BAT-SEIKO-MS621R              15.010        -1437.008     180      "BAT,3V,SMD,SEIKO MS621R"                         
C39        CAP0402                     TopLayer    CAPC0402                      -185.039      -917.323      0        CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C34        CAP0402                     TopLayer    CAPC0402                      283.465       -1291.339     270      CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
R15        RESC0603                    TopLayer    RESC0603                      303.150       1480.315      90       "RESISTOR,1M,1%,100mW,0603 (1608)"                
C33        CAP0805                     TopLayer    CAPC0805                      236.220       1480.315      90       "CAPACITOR,CERAMIC,10nF,200V,X7R,0805 (2012),ESD" 
C32        CAP0402                     TopLayer    CAPC0402                      197.000       675.000       270      CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C31        CAP0402                     TopLayer    CAPC0402                      287.402       236.220       180      CAPACITOR,CERAMIC,4u7,10V,X5R,0402                
L2         AOTA-B201610S3R3-101-T      TopLayer    IND-ABRACON-B201610S3R3-101-T 152.087       395.874       0        "IND,3U3,RP2350, ABRACON AOTA-B201610S3R3-101-T"  
L1         4.7uH                       TopLayer    IND-ABRACON-ASPI-3012S-3R9N-T -241.150      880.874       270      "IND,4.7uH,1.06A,3X3, NRH3012T4R7MN"              
X1         ABM8-272-T3                 TopLayer    XTAL-ABRACON-ABM8-272-T3      52.087        -468.126      0        XTAL,12MHZ,RP2350                                 
D1         TVS-WURTH-824011            TopLayer    SOT23-5                       96.086        654.874       0        DIODE,TVS,DUAL,UNIDIRECTIONAL,USB                 
U4         LM4040-3.0                  BottomLayer SOT23                         275.591       133.858       270      "IC,VOLTAGE REFERENCE,3.0V"                       
U2         AP63203Q                    TopLayer    SOT23-6                       -80.150       918.874       180      "IC,PMIC,STEP-DOWN, 2A 3.3V"                      
J7         SM03B                       BottomLayer CONN-JST-SM03B-SRSS-TB        0.000         -1471.949     180      CONN,1X3,1MM,RA,SMD,JST,SM03B                     
J6         SOLDERPAD-2                 BottomLayer SOLDERPAD-2                   -232.284      -437.008      0        ""                                                
J5         SOLDERPAD-3                 BottomLayer SOLDERPAD-3                   -23.622       209.507       180      ""                                                
J4         SOLDERPAD-2                 BottomLayer SOLDERPAD-2                   229.000       -1293.000     270      ""                                                
J3         SOLDERPAD-2                 BottomLayer SOLDERPAD-2                   -322.835      1267.716      90       ""                                                
R14        RESC0402                    TopLayer    RESC0402                      -283.465      597.441       180      "RESISTOR,10K,1%,63mW,0402 (1005)"                
R13        RESC0402                    TopLayer    RESC0402                      185.039       -1291.339     90       "RESISTOR,4K7,1%,63mW,0402 (1005)"                
R12        RESC0402                    TopLayer    RESC0402                      133.858       -1291.339     90       "RESISTOR,4K7,1%,63mW,0402 (1005)"                
R9         RESC0402                    TopLayer    RESC0402                      -272.000      1417.000      0        "RESISTOR,10K,1%,63mW,0402 (1005)"                
C30        CAP0603                     TopLayer    CAPC0603                      149.087       326.874       0        CAPACITOR,CERAMIC,4u7,10V,X5R,0603                
C29        CAP0402                     TopLayer    CAPC0402                      57.087        -266.126      270      CAPACITOR,CERAMIC,4u7,10V,X5R,0402                
C28        CAP0402                     TopLayer    CAPC0402                      295.087       18.754        0        CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
R11        RESC0402                    TopLayer    RESC0402                      263.779       354.331       270      "RESISTOR,33R,1%,63mW,0402 (1005)"                
U6         FM24C64B-GTR                TopLayer    SO127P600-8N                  208.661       -1102.362     270      "IC,FRAM,I2C, 64KBIT"                             
U8         DS3231M                     TopLayer    SO127P600-8N                  -208.661      -1102.362     270      IC,RTC,I2C,DS3231M                                
J2         CONN-DIP64-SOCKET           TopLayer    CONN-DIP64-SOCKET             0.000         0.000         0        ""                                                
U5         APS6404L-3SQR-SN            BottomLayer SO127P600-8N                  -190.000      661.000       0        IC,PSRAM,QSPI,8Mx8,SO8                            
R10        RESC0402                    TopLayer    RESC0402                      138.087       -469.126      90       "RESISTOR,1K,1%,63mW,0402 (1005)"                 
R8         RESC0402                    TopLayer    RESC0402                      -248.031      314.961       0        "RESISTOR,10K,1%,63mW,0402 (1005)"                
R5         RESC0402                    TopLayer    RESC0402                      75.087        764.874       270      "RESISTOR,27R,1%,63mW,0402 (1005)"                
R4         RESC0402                    TopLayer    RESC0402                      116.275       764.984       270      "RESISTOR,27R,1%,63mW,0402 (1005)"                
C20        CAP0402                     TopLayer    CAPC0402                      -3.937        429.134       90       CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C25        CAP0603                     TopLayer    CAPC0402                      52.087        -367.126      0        CAPACITOR,CERAMIC,15pF,50V,C0G,0402               
C24        CAP0603                     TopLayer    CAPC0603                      149.087       267.874       0        CAPACITOR,CERAMIC,4u7,10V,X5R,0603                
C21        CAP0402                     TopLayer    CAPC0402                      -82.717       586.000       180      CAPACITOR,CERAMIC,4u7,10V,X5R,0402                
C23        CAP0402                     TopLayer    CAPC0402                      232.284       283.465       90       CAPACITOR,CERAMIC,4u7,10V,X5R,0402                
C22        CAP0402                     TopLayer    CAPC0402                      -82.677       625.984       180      CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C27        CAP0402                     TopLayer    CAPC0402                      -281.913      18.874        180      CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C26        CAP0603                     TopLayer    CAPC0402                      53.087        -570.126      180      CAPACITOR,CERAMIC,15pF,50V,C0G,0402               
C19        CAP0402                     TopLayer    CAPC0402                      -43.307       429.134       90       CAPACITOR,CERAMIC,4u7,10V,X5R,0402                
C18        CAP0402                     TopLayer    CAPC0402                      287.402       196.850       180      CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C17        CAP0402                     TopLayer    CAPC0402                      291.966       -195.126      270      CAPACITOR,CERAMIC,4u7,10V,X5R,0402                
C16        CAP0402                     TopLayer    CAPC0402                      253.966       -195.126      270      CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C15        CAP0402                     TopLayer    CAPC0402                      -48.913       -312.126      225      CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C14        CAP0402                     TopLayer    CAPC0402                      -131.913      -271.126      225      CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C13        CAP0402                     TopLayer    CAPC0402                      -287.402      -94.488       180      CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C12        CAP0402                     TopLayer    CAPC0402                      -281.913      103.874       180      CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C11        CAP0402                     TopLayer    CAPC0402                      -14.914       316.764       90       CAPACITOR,CERAMIC,4u7,10V,X5R,0402                
C10        CAP0402                     TopLayer    CAPC0402                      248.031       429.134       90       CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C9         CAP0402                     TopLayer    CAPC0402                      232.284       208.661       90       CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C8         CAP0402                     TopLayer    CAPC0402                      24.087        280.764       90       CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C7         CAP0402                     TopLayer    CAPC0402                      -176.913      277.874       180      CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C6         CAP0402                     TopLayer    CAPC0402                      295.087       -19.246       0        CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
U1         IC-RP2350-DIP64             TopLayer    QFN40P1000X1000X90_HS-81N     0.000         0.000         0        IC,CPU,RP2350B,QFN80                              
U3         W25Q128JVSIQ                BottomLayer SO127P790-8N                  -190.000      431.000       0        IC,FLASH,QSPI,16Mx8                               
R7         RESC0402                    TopLayer    RESC0402                      0.000         1303.150      0        "RESISTOR,1K,1%,63mW,0402 (1005)"                 
R6         RESC0402                    TopLayer    RESC0402                      -287.402      374.016       270      "RESISTOR,1K,1%,63mW,0402 (1005)"                 
R3         RESC0402                    TopLayer    RESC0402                      -244.095      1509.842      90       "RESISTOR,5K1,1%,63mW,0402 (1005)"                
R2         RESC0402                    TopLayer    RESC0402                      -291.339      1509.842      90       "RESISTOR,5K1,1%,63mW,0402 (1005)"                
R1         RESC0402                    TopLayer    RESC0402                      35.433        937.008       90       "RESISTOR,1K,1%,63mW,0402 (1005)"                 
C5         CAP0603                     TopLayer    CAPC0603                      -146.150      774.874       0        CAPACITOR,CERAMIC,22uF,16V,X5R,0603               
C4         CAP0603                     TopLayer    CAPC0603                      -263.150      774.874       180      CAPACITOR,CERAMIC,22uF,16V,X5R,0603               
C3         CAP0402                     TopLayer    CAPC0402                      -124.150      828.874       180      CAPACITOR,CERAMIC,100nF,16V,X7R,0402              
C2         CAP0603                     TopLayer    CAPC0603                      35.433        1059.055      90       CAPACITOR,CERAMIC,22uF,16V,X5R,0603               
C1         CAP0603                     TopLayer    CAPC0603                      -27.559       1058.661      90       CAPACITOR,CERAMIC,22uF,16V,X5R,0603               
SW3        SWITCH-PANASONIC-EVP-AA202K TopLayer    SWITCH-PANASONIC-EVP-AA202K   -216.535      1267.716      0        SW,SMD,TACT,4PIN,2.9X3.5,4PIN                     
SW2        SWITCH-PANASONIC-EVP-AA202K TopLayer    SWITCH-PANASONIC-EVP-AA202K   216.535       1267.716      0        SW,SMD,TACT,4PIN,2.9X3.5,4PIN                     
SW1        SWITCH-E-SWITCH-TL1016      BottomLayer SWITCH-ESWITCH-TL1016         0.000         1520.000      0        "SW,SMD,TACT,4PIN,2.9X3.5,4PIN,SIDE ACTUATOR"     
J1         CONN-USBC-USB2-HOR          TopLayer    CONN-GCT-USB4085              0.000         1472.362      180      CONN,USB-C,16P,RA,TH,8.94X9.17                    
