Altium Designer Pick and Place Locations
C:\GitHub\DIP2350\CAM\Pick Place\Pick Place for DIP2350.txt

========================================================================================================================
File Design Information:

Date:       21/05/25
Time:       18:53
Revision:   285f2202f1a292c42c62db1fb68da3d7fceb3170
Variant:    No variations
Units used: mm

Designator Layer       Center-X(mm) Center-Y(mm) Rotation Description                                       LCSC                  
R18        BottomLayer -6.8000      -31.7000     90       "RESISTOR,1K,1%,63mW,0402 (1005)"                 C106235               
D3         BottomLayer -4.5000      -31.7000     180      "DIODE,75V,215mA,SOD323,LOW LEAKAGE"              C459842               
U9         BottomLayer -3.3020      28.1178      0        "IC,PMIC,IDEAL DIODE ORING CONTROLLER"            C3235547              
C40        BottomLayer -4.5000      25.9000      0        CAPACITOR,CERAMIC,4u7,10V,X5R,0402                C1705                 
D2         TopLayer    -0.0001      30.7849      90       LED,BLUE,0603                                     C965807               
X2         BottomLayer -5.0800      -27.7368     90       XTAL,32.768KHz,12.5PF,3215                        C37635363             
R17        BottomLayer -1.1430      -31.3690     0        "RESISTOR,1K,1%,63mW,0402 (1005)"                 C106235               
R16        BottomLayer 7.7978       9.0424       270      "RESISTOR,100R,1%,100mW,0603 (1608)"              C105588               
K1         TopLayer    0.0000       -34.9813     90       "BAT,3V,SMD,SEIKO MS621R"                         ""                    
C39        BottomLayer -1.0696      -17.4244     0        CAPACITOR,CERAMIC,100nF,16V,X7R,0402              C60474                
C38        BottomLayer -1.1430      -30.3276     0        CAPACITOR,CERAMIC,100nF,16V,X7R,0402              C60474                
C37        BottomLayer -5.0800      -30.3276     180      CAPACITOR,CERAMIC,15pF,50V,C0G,0402               C3906764              
C36        BottomLayer -5.0800      -25.1206     180      CAPACITOR,CERAMIC,15pF,50V,C0G,0402               C3906764              
C35        BottomLayer 4.3180       -28.3464     90       CAPACITOR,CERAMIC,100nF,16V,X7R,0402              C60474                
C34        BottomLayer 4.2672       -22.5806     90       CAPACITOR,CERAMIC,100nF,16V,X7R,0402              C60474                
R15        TopLayer    7.7000       37.6000      90       "RESISTOR,1M,1%,100mW,0603 (1608)"                C105578               
C33        TopLayer    6.0000       37.6000      90       "CAPACITOR,CERAMIC,10nF,200V,X7R,0805 (2012),ESD" C36911368             
C32        TopLayer    5.0038       17.1450      270      CAPACITOR,CERAMIC,100nF,16V,X7R,0402              C60474                
C31        TopLayer    6.5046       5.1022       0        CAPACITOR,CERAMIC,4u7,10V,X5R,0402                C1705                 
L2         TopLayer    3.8630       10.0552      0        "IND,3U3,RP2350, ABRACON AOTA-B201610S3R3-101-T"  C42411119             
